"Mission.CEOS.ID";"Short.Name";"Full.Name";"Mission.agencies";"Launch.year";"Orbit";"Instrument.CEOS.ID";"Resolution";"Swath";"Short.name";"Full.name";"Technology";"Instrument.agencies"
"2";"Envisat";"Environmental Satellite";"ESA";"01 Mar 2002";"Sun-synchronous";411;"IR ocean channels: 1 x 1 km, Visible land channels: 1 x 1 km[Best Resolution: 1000m]";"500 km";"AATSR";"Advanced Along-Track Scanning Radiometer";"Multi-channel/direction/polarisation radiometer";"UKSA"
"";"";"";"";"";"";344;"Image, wave and alternating polarisation modes: approx 30 x 30 m, Wide swath mode: 150 x 150 m, Global monitoring mode: 950 m x 950 m[Best Resolution: 30m]";"Image and alternating polarisation modes: up to 100 km, Wave mode: 5 km, Wide swath and global monitoring modes: 400 km or more[Max Swath: 493 km]";"ASAR";"Advanced Synthetic-Aperture Radar";"Imaging radar (SAR)";"ESA"
"";"";"";"";"";"";260;"";"";"ASAR (image mode)";"Advanced Synthetic Aperture Radar (Image mode)";"Imaging radar (SAR)";"ESA"
"";"";"";"";"";"";320;"Ocean: 1040 x 1200 m, Land & coast: 260 x 300 m[Best Resolution: 260m]";"1150 km, global coverage every 3 days";"MERIS";"Medium-Resolution Imaging Spectrometer";"Medium-resolution spectro-radiometer";"ESA"
"14";"FY-1A";"FY-1A Polar-orbiting Meteorological Satellite";"CAST, NSMC-CMA";"07 Sep 1988";"Sun-synchronous";13;"";"";"MVISR (5 channels)";"Multispectral Visible and Infra-red Scan Radiometer (5 channels)";"Multi-purpose imaging Vis/IR radiometer";"CAST, NRSCC"
"15";"FY-1B";"FY-1B Polar-orbiting Meteorological Satellite";"CAST, NSMC-CMA";"03 Sep 1990";"Sun-synchronous";13;"";"";"MVISR (5 channels)";"Multispectral Visible and Infra-red Scan Radiometer (5 channels)";"Multi-purpose imaging Vis/IR radiometer";"CAST, NRSCC"
"45";"SSR-1";"Remote Sensing Satellite 1";"INPE";"01 Dec 2007";"Inclined, non-sun-synchronous";405;"VIS - NIR: 40 m[Best Resolution: 40m]";"740 km [Max Swath: 740 km]";"AWFI";"Advanced Wide Field Imager";"Multi-purpose imaging Vis/IR radiometer";"INPE"
"46";"SSR-2";"Remote Sensing Satellite 2";"INPE";"01 Dec 2012";"Inclined, non-sun-synchronous";405;"VIS - NIR: 40 m[Best Resolution: 40m]";"740 km [Max Swath: 740 km]";"AWFI";"Advanced Wide Field Imager";"Multi-purpose imaging Vis/IR radiometer";"INPE"
"";"";"";"";"";"";819;"3 - 20 m";"20 - 55 km";"L-band SAR";"L-band SAR";"Imaging radar (SAR)";"INPE"
"51";"IRS-1A";"Indian Remote Sensing Satellite - 1A";"ISRO";"17 Mar 1988";"Sun-synchronous";439;"Bands 2, 3 & 4: 23.5 m, Band 5: 70.5 m";"141 km";"LISS-II";"Linear Imaging Self Scanner - II";"High resolution optical imager";"ISRO"
